Timestamp,Voltage,Current,ActivePower,ReactivePower,PowerFactor,Appliance,Status,NILMLabel,Energy_kWh,CumulativeEnergy_kWh
2026-09-23 08:00:00,230.56,0.133,28.35,11.91,0.922,Fan,ON,BLDC Ceiling Fan,0.000473,0.000473
2026-09-23 08:01:00,228.89,0.175,38.31,12.02,0.954,Fan,ON,BLDC Ceiling Fan,0.000639,0.001111
2026-09-23 08:02:00,231.57,0.135,29.22,11.2,0.934,Fan,ON,BLDC Ceiling Fan,0.000487,0.001598
2026-09-23 08:03:00,228.12,0.145,31.06,11.23,0.94,Fan,ON,BLDC Ceiling Fan,0.000518,0.002116
2026-09-23 08:04:00,228.11,0.142,30.78,9.9,0.952,Fan,ON,BLDC Ceiling Fan,0.000513,0.002629
2026-09-23 08:05:00,230.18,0.143,31.09,10.53,0.947,Fan,ON,BLDC Ceiling Fan,0.000518,0.003147
2026-09-23 08:06:00,231.24,0.126,28.09,7.7,0.964,Fan,ON,BLDC Ceiling Fan,0.000468,0.003615
2026-09-23 08:07:00,230.79,0.156,32.76,14.69,0.912,Fan,ON,BLDC Ceiling Fan,0.000546,0.004161
2026-09-23 08:08:00,231.83,0.156,32.71,15.15,0.907,Fan,ON,BLDC Ceiling Fan,0.000545,0.004706
2026-09-23 08:09:00,228.39,0.184,39.86,13.34,0.948,Fan,ON,BLDC Ceiling Fan,0.000664,0.005371
2026-09-23 08:10:00,231.23,0.175,38.22,13.5,0.943,Fan,ON,BLDC Ceiling Fan,0.000637,0.006008
2026-09-23 08:11:00,231.89,0.152,33.3,11.62,0.944,Fan,ON,BLDC Ceiling Fan,0.000555,0.006563
2026-09-23 08:12:00,231.32,0.164,36.66,9.36,0.969,Fan,ON,BLDC Ceiling Fan,0.000611,0.007174
2026-09-23 08:13:00,230.31,0.182,37.86,17.94,0.904,Fan,ON,BLDC Ceiling Fan,0.000631,0.007805
2026-09-23 08:14:00,228.91,0.154,32.05,14.94,0.906,Fan,ON,BLDC Ceiling Fan,0.000534,0.008339
2026-09-23 08:15:00,228.93,0.139,29.41,12.33,0.922,Fan,ON,BLDC Ceiling Fan,0.00049,0.008829
2026-09-23 08:16:00,230.54,0.154,33.11,13.13,0.93,Fan,ON,BLDC Ceiling Fan,0.000552,0.009381
2026-09-23 08:17:00,228.84,0.142,31.74,7.24,0.975,Fan,ON,BLDC Ceiling Fan,0.000529,0.00991
2026-09-23 08:18:00,230.59,0.173,36.53,16.25,0.914,Fan,ON,BLDC Ceiling Fan,0.000609,0.010519
2026-09-23 08:19:00,230.92,0.141,30.29,11.94,0.93,Fan,ON,BLDC Ceiling Fan,0.000505,0.011023
2026-09-23 08:20:00,231.96,0.004,0.21,0.97,0.211,Fan,OFF,Off / Idle,3e-06,0.011027
2026-09-23 08:21:00,230.74,0.004,0.26,0.99,0.255,Fan,OFF,Off / Idle,4e-06,0.011031
