timestamp,active_power,power_factor,appliance,confidence,state,is_phantom,alert
0,98.04,0.96,Smart TV (Active),1.0,Active/Off,False,
1,76.23,0.9,Smart TV (Active),0.47,Active/Off,False,
2,106.71,0.92,Smart TV (Active),0.49,Active/Off,False,
3,73.62,0.94,Smart TV (Active),0.49,Active/Off,False,
4,118.91,0.95,Smart TV (Active),0.49,Active/Off,False,
5,72.5,0.95,Smart TV (Active),0.48,Active/Off,False,
6,61.8,0.94,Smart TV (Active),0.47,Active/Off,False,
7,97.96,0.94,Smart TV (Active),0.47,Active/Off,False,
8,70.09,0.92,Smart TV (Active),0.47,Active/Off,False,
9,61.82,0.91,Smart TV (Active),0.48,Active/Off,False,
10,112.93,0.97,Smart TV (Active),0.47,Active/Off,False,
11,101.72,0.94,Smart TV (Active),0.47,Active/Off,False,
12,115.88,0.95,Smart TV (Active),0.47,Active/Off,False,
13,84.3,0.91,Smart TV (Active),0.48,Active/Off,False,
14,83.97,0.95,Smart TV (Active),0.49,Active/Off,False,
15,97.45,0.91,Smart TV (Active),0.49,Active/Off,False,
16,74.02,0.91,Smart TV (Active),0.49,Active/Off,False,
17,71.47,0.92,Smart TV (Active),0.49,Active/Off,False,
18,99.56,0.97,Smart TV (Active),0.47,Active/Off,False,
19,113.57,0.91,Smart TV (Active),0.49,Active/Off,False,
20,2.84,0.33,BLDC Ceiling Fan,0.51,Active/Off,False,
21,2.24,0.36,BLDC Ceiling Fan,0.48,Active/Off,False,
22,1.51,0.43,BLDC Ceiling Fan,0.45,Active/Off,False,
23,2.14,0.41,Wi-Fi Router,0.33,Standby,False,
24,1.76,0.32,Smart TV (Standby),0.99,Standby,False,
25,2.28,0.38,Smart TV (Standby),0.99,Standby,False,
26,1.66,0.4,Smart TV (Standby),0.99,Standby,False,
27,2.03,0.44,Smart TV (Standby),0.99,Standby,False,
28,2.86,0.41,Smart TV (Standby),0.99,Standby,False,
29,1.24,0.42,Smart TV (Standby),0.99,Standby,False,
30,2.23,0.38,Smart TV (Standby),0.99,Standby,False,
31,1.47,0.35,Smart TV (Standby),0.99,Standby,False,
32,1.72,0.39,Smart TV (Standby),0.99,Standby,False,
33,1.48,0.37,Smart TV (Standby),0.99,Standby,False,
34,2.02,0.43,Smart TV (Standby),0.99,Standby,False,
35,2.14,0.43,Smart TV (Standby),0.99,Standby,False,
36,2.79,0.36,Smart TV (Standby),0.99,Standby,False,
37,2.9,0.42,Smart TV (Standby),0.99,Standby,True,PHANTOM LOAD: Smart TV (Standby) has been in standby for 15 min drawing 2.9 W (~2.1 units / Rs 15 per month). Enable auto cut-off for this socket.
38,2.43,0.35,Smart TV (Standby),0.99,Standby,True,
39,1.37,0.33,Smart TV (Standby),0.99,Standby,True,
40,18.48,0.6,Laptop Charger (Idle),0.97,Standby,False,
41,17.42,0.65,Wi-Fi Router,0.57,Standby,False,
42,17.54,0.57,Wi-Fi Router,0.73,Standby,False,
43,16.6,0.63,Set-Top Box (Standby),0.78,Standby,False,
44,15.28,0.63,Set-Top Box (Standby),0.95,Standby,False,
45,16.92,0.55,Set-Top Box (Standby),0.95,Standby,False,
46,15.09,0.57,Set-Top Box (Standby),0.97,Standby,False,
47,17.08,0.61,Set-Top Box (Standby),0.97,Standby,False,
48,17.66,0.58,Set-Top Box (Standby),0.97,Standby,False,
49,17.47,0.62,Set-Top Box (Standby),0.97,Standby,False,
50,16.06,0.55,Set-Top Box (Standby),0.97,Standby,False,
51,19.34,0.56,Set-Top Box (Standby),0.97,Standby,False,
52,15.93,0.61,Set-Top Box (Standby),0.89,Standby,False,
53,15.54,0.63,Set-Top Box (Standby),0.89,Standby,False,
54,18.08,0.57,Set-Top Box (Standby),0.89,Standby,True,PHANTOM LOAD: Set-Top Box (Standby) has been in standby for 15 min drawing 18.1 W (~13.0 units / Rs 91 per month). Enable auto cut-off for this socket.
55,17.22,0.56,Set-Top Box (Standby),0.89,Standby,True,
56,17.67,0.63,Set-Top Box (Standby),0.96,Standby,True,
57,17.59,0.64,Set-Top Box (Standby),0.95,Standby,True,
58,15.22,0.57,Set-Top Box (Standby),0.96,Standby,True,
59,18.75,0.58,Set-Top Box (Standby),0.86,Standby,True,
60,17.88,0.59,Set-Top Box (Standby),0.91,Standby,True,
61,18.04,0.59,Set-Top Box (Standby),0.89,Standby,True,
62,16.49,0.57,Set-Top Box (Standby),0.9,Standby,True,
63,17.28,0.63,Set-Top Box (Standby),0.97,Standby,True,
64,16.58,0.63,Set-Top Box (Standby),0.96,Standby,True,
65,29.89,0.61,Set-Top Box (Active),0.91,Active/Off,True,
66,31.04,0.75,Set-Top Box (Active),0.73,Active/Off,True,
67,29.73,0.76,Set-Top Box (Active),0.89,Active/Off,True,
68,39.16,0.73,BLDC Ceiling Fan,0.69,Active/Off,False,
69,39.83,0.67,BLDC Ceiling Fan,0.97,Active/Off,False,
70,35.32,0.63,BLDC Ceiling Fan,0.97,Active/Off,False,
71,36.34,0.76,BLDC Ceiling Fan,0.97,Active/Off,False,
72,30.19,0.72,BLDC Ceiling Fan,0.97,Active/Off,False,
73,42.63,0.75,BLDC Ceiling Fan,0.97,Active/Off,False,
74,33.68,0.63,BLDC Ceiling Fan,0.97,Active/Off,False,
