Timestamp,Voltage,Current,ActivePower,ReactivePower,PowerFactor
0,227.3,0.448,98.04,27.81,0.96
1,234.0,0.362,76.23,36.83,0.9
2,231.1,0.5,106.71,44.08,0.92
3,232.1,0.337,73.62,26.63,0.94
4,226.1,0.554,118.91,39.18,0.95
5,230.8,0.331,72.5,24.08,0.95
6,228.4,0.289,61.8,22.98,0.94
7,228.6,0.456,97.96,35.64,0.94
8,227.6,0.336,70.09,30.69,0.92
9,229.7,0.295,61.82,27.74,0.91
10,230.2,0.507,112.93,29.39,0.97
11,230.4,0.468,101.72,35.8,0.94
12,226.4,0.54,115.88,38.96,0.95
13,232.0,0.398,84.3,37.91,0.91
14,228.0,0.389,83.97,28.42,0.95
15,226.4,0.472,97.45,43.81,0.91
16,233.4,0.349,74.02,34.21,0.91
17,224.0,0.345,71.47,29.57,0.92
18,232.1,0.443,99.56,25.98,0.97
19,234.6,0.531,113.57,51.2,0.91
20,229.6,0.038,2.84,8.22,0.33
21,228.7,0.027,2.24,5.87,0.36
22,232.0,0.015,1.51,3.15,0.43
23,231.8,0.022,2.14,4.72,0.41
24,223.9,0.025,1.76,5.23,0.32
25,236.7,0.025,2.28,5.57,0.38
26,231.5,0.018,1.66,3.78,0.4
27,231.6,0.02,2.03,4.19,0.44
28,226.8,0.031,2.86,6.32,0.41
29,230.6,0.013,1.24,2.66,0.42
30,224.0,0.026,2.23,5.49,0.38
31,232.5,0.018,1.47,3.87,0.35
32,232.3,0.019,1.72,4.12,0.39
33,234.3,0.017,1.48,3.76,0.37
34,227.1,0.02,2.02,4.19,0.43
35,227.6,0.022,2.14,4.47,0.43
36,229.5,0.033,2.79,7.14,0.36
37,229.0,0.03,2.9,6.26,0.42
38,229.1,0.03,2.43,6.52,0.35
39,228.0,0.018,1.37,3.9,0.33
40,225.6,0.137,18.48,24.77,0.6
41,232.2,0.116,17.42,20.58,0.65
42,231.4,0.133,17.54,25.38,0.57
43,226.4,0.116,16.6,20.38,0.63
44,229.9,0.105,15.28,18.83,0.63
45,229.1,0.133,16.92,25.38,0.55
46,232.0,0.113,15.09,21.48,0.57
47,232.8,0.12,17.08,22.24,0.61
48,232.3,0.131,17.66,24.74,0.58
49,234.5,0.121,17.47,22.35,0.62
50,232.6,0.125,16.06,24.13,0.55
51,224.9,0.155,19.34,28.99,0.56
52,232.5,0.112,15.93,20.55,0.61
53,230.1,0.107,15.54,19.17,0.63
54,225.5,0.141,18.08,26.08,0.57
55,231.5,0.133,17.22,25.51,0.56
56,228.0,0.123,17.67,21.76,0.63
57,227.7,0.121,17.59,21.15,0.64
58,225.8,0.118,15.22,21.86,0.57
59,225.7,0.144,18.75,26.66,0.58
60,230.2,0.132,17.88,24.59,0.59
61,223.4,0.137,18.04,24.84,0.59
62,227.9,0.126,16.49,23.48,0.57
63,226.5,0.122,17.28,21.57,0.63
64,230.1,0.115,16.58,20.64,0.63
65,231.7,0.21,29.89,38.36,0.61
66,227.9,0.182,31.04,27.38,0.75
67,230.0,0.17,29.73,25.5,0.76
68,228.6,0.234,39.16,36.56,0.73
69,230.8,0.259,39.83,44.52,0.67
70,229.2,0.243,35.32,43.04,0.63
71,230.0,0.208,36.34,30.94,0.76
72,224.5,0.188,30.19,29.44,0.72
73,232.0,0.244,42.63,37.4,0.75
74,229.4,0.232,33.68,41.17,0.63
75,229.8,0.009,0.39,2.01,0.19
76,231.5,0.003,0.21,0.74,0.27
77,229.8,0.003,0.19,0.76,0.24
78,229.3,0.01,0.41,2.29,0.18
79,227.4,0.013,0.37,2.85,0.13
80,225.9,0.065,5.41,13.64,0.37
81,230.6,0.059,5.94,12.24,0.44
82,236.0,0.045,5.16,9.25,0.49
83,231.0,0.054,5.29,11.4,0.42
84,227.3,0.037,3.84,7.46,0.46
85,231.7,0.03,3.31,5.99,0.48
86,225.9,0.043,3.72,8.95,0.38
87,227.2,0.054,4.64,11.43,0.38
88,229.4,0.043,4.41,8.73,0.45
89,229.9,0.047,4.61,9.75,0.43
90,235.6,0.042,4.6,8.67,0.47
91,231.2,0.042,3.54,8.98,0.37
92,232.1,0.05,5.7,9.99,0.5
93,228.0,0.039,4.37,7.82,0.49
94,227.7,0.051,4.15,10.75,0.36
95,226.5,0.042,4.39,8.38,0.46
96,233.2,0.047,5.18,9.53,0.48
97,229.6,0.06,5.16,12.76,0.38
